FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z
1,0.00000,skull,phantom1,Measured,338.365,353.008,183.094
1,0.00000,skull,phantom2,Measured,302.125,413.543,148.604
1,0.00000,skull,phantom3,Measured,351.689,347.606,90.599
1,0.00000,skull,phantom4,Measured,301.656,320.014,154.561
1,0.00000,catheter,tip1,Measured,303.252,84.580,-20.389
1,0.00000,catheter,tip2,Measured,356.242,72.314,3.601
1,0.00000,catheter,tip3,Virtual,60.835,67.936,-21.604
1,0.00000,catheter,tip4,Measured,304.927,42.772,-19.839
2,0.00500,skull,phantom1,Measured,338.354,353.005,183.090
2,0.00500,skull,phantom2,Measured,302.132,413.532,148.615
2,0.00500,skull,phantom3,Measured,351.690,347.606,90.593
2,0.00500,skull,phantom4,Measured,301.651,320.013,154.566
2,0.00500,catheter,tip1,Measured,303.242,84.599,-20.419
2,0.00500,catheter,tip2,Measured,356.234,72.316,3.606
2,0.00500,catheter,tip3,Virtual,60.837,67.950,-21.685
2,0.00500,catheter,tip4,Measured,304.943,42.750,-19.808
3,0.01000,skull,phantom1,Measured,338.352,353.000,183.087
3,0.01000,skull,phantom2,Measured,302.120,413.532,148.620
3,0.01000,skull,phantom3,Measured,351.686,347.614,90.593
3,0.01000,skull,phantom4,Measured,301.648,320.013,154.555
3,0.01000,catheter,tip1,Measured,303.236,84.623,-20.391
3,0.01000,catheter,tip2,Measured,356.247,72.312,3.599
3,0.01000,catheter,tip3,Virtual,60.831,67.994,-21.557
3,0.01000,catheter,tip4,Measured,304.932,42.771,-19.827
4,0.01500,skull,phantom1,Measured,338.592,353.418,182.600
4,0.01500,skull,phantom2,Measured,301.964,413.641,148.508
4,0.01500,skull,phantom3,Measured,351.552,347.397,90.604
4,0.01500,skull,phantom4,Measured,301.646,320.011,154.573
4,0.01500,catheter,tip1,Measured,303.249,84.600,-20.399
4,0.01500,catheter,tip2,Measured,356.251,72.310,3.594
4,0.01500,catheter,tip3,Virtual,60.935,67.354,-21.543
4,0.01500,catheter,tip4,Measured,305.232,42.758,-19.698
5,0.02000,skull,phantom1,Measured,338.541,353.454,182.620
5,0.02000,skull,phantom2,Measured,301.960,413.636,148.522
5,0.02000,skull,phantom3,Measured,351.559,347.401,90.613
5,0.02000,skull,phantom4,Measured,301.650,320.016,154.565
5,0.02000,catheter,tip1,Measured,303.242,84.610,-20.392
5,0.02000,catheter,tip2,Measured,356.257,72.310,3.591
5,0.02000,catheter,tip3,Virtual,60.934,67.315,-21.500
5,0.02000,catheter,tip4,Measured,305.233,42.746,-19.704
6,0.02500,skull,phantom1,Measured,338.533,353.519,182.602
6,0.02500,skull,phantom2,Measured,301.946,413.750,148.510
6,0.02500,skull,phantom3,Measured,351.564,347.417,90.595
6,0.02500,skull,phantom4,Measured,301.647,319.994,154.573
6,0.02500,catheter,tip1,Measured,303.239,84.639,-20.395
6,0.02500,catheter,tip2,Measured,356.257,72.329,3.594
6,0.02500,catheter,tip3,Virtual,60.913,67.565,-21.457
6,0.02500,catheter,tip4,Measured,305.176,42.783,-19.686
7,0.03000,skull,phantom1,Measured,338.530,353.434,182.707
7,0.03000,skull,phantom2,Measured,301.623,413.820,148.769
7,0.03000,skull,phantom3,Measured,351.504,347.332,90.957
7,0.03000,skull,phantom4,Measured,301.360,319.852,154.730
7,0.03000,catheter,tip1,Measured,303.273,84.567,-20.401
7,0.03000,catheter,tip2,Measured,356.236,72.287,3.584
7,0.03000,catheter,tip3,Virtual,60.948,67.337,-21.719
7,0.03000,catheter,tip4,Measured,305.246,42.818,-19.791
8,0.03500,skull,phantom1,Measured,338.490,353.393,182.636
8,0.03500,skull,phantom2,Measured,301.452,413.734,148.854
8,0.03500,skull,phantom3,Measured,351.465,347.286,90.430
8,0.03500,skull,phantom4,Measured,301.761,320.032,154.345
8,0.03500,catheter,tip1,Measured,303.302,84.546,-20.403
8,0.03500,catheter,tip2,Measured,356.235,72.282,3.579
8,0.03500,catheter,tip3,Virtual,60.955,67.400,-21.720
8,0.03500,catheter,tip4,Measured,305.241,42.811,-19.775
9,0.04000,skull,phantom1,Measured,338.591,353.348,182.599
