FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY,ANGLEXY,ANGLEXZ,ANGLEYZ
1,0.0,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
1,0.0,skull,phantom1,Measured,420.021,336.023,221.578,,,,,325.942,282.674,316.136
1,0.0,skull,phantom2,Measured,392.559,394.919,178.217,,,,,51.939,295.343,205.299
1,0.0,skull,phantom3,Measured,452.606,326.032,134.406,,,,,252.719,16.541,288.587
1,0.0,skull,phantom4,Measured,390.291,301.795,187.388,,,,,237.903,280.972,29.029
1,0.0,catheter3_mid3,tip1,Measured,-158.736,282.482,177.347,,,,,195.253,286.457,279.75
1,0.0,catheter3_mid3,tip2,Measured,-183.751,329.133,59.516,,,,,3.751,282.554,275.852
1,0.0,catheter3_mid3,tip3,Measured,-173.173,285.628,181.09,,,,,71.107,282.336,278.108
1,0.0,catheter3_mid3,tip4,Measured,-175.045,292.486,233.363,,,,,138.433,288.042,281.628
1,0.0,catheter3_mid3,tip5,Measured,-178.478,254.326,217.758,,,,,87.807,280.333,278.129
1,0.0,catheter3_mid3,tip6,Measured,-144.925,248.46,266.738,,,,,29.621,284.468,280.724
1,0.0,catheter3_mid3,tip7,Mixed,-199.502,359.565,-2.851,,,,,303.989,295.559,279.305
2,0.005,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
7,0.03,skull,phantom1,Measured,420.026,336.349,221.357,7.0,-0.8,-5.4,13.859,55.012,0.041,44.183
7,0.03,skull,phantom2,Measured,392.388,395.122,177.751,-3.2,2.2,-6.1,16.782,204.237,290.37,68.559
7,0.03,skull,phantom3,Measured,452.774,326.609,134.225,16.1,23.2,-4.6,41.135,306.432,234.554,299.642
7,0.03,skull,phantom4,Measured,390.375,301.574,187.636,-10.3,14.6,-52.9,56.21,70.467,296.467,192.3
8,0.035,catheter3_mid3,tip1,Measured,-154.174,290.052,176.071,35.6,159.0,-71.1,176.686,230.544,252.579,320.792
8,0.035,catheter3_mid3,tip2,Measured,-179.931,337.229,58.692,59.1,222.4,-43.4,234.223,35.428,75.901,284.074
8,0.035,catheter3_mid3,tip3,Measured,-168.363,292.884,180.07,37.4,143.1,-67.0,168.179,312.02,256.964,340.972
8,0.035,catheter3_mid3,tip4,Measured,-170.436,299.508,231.957,16.8,105.7,-58.9,123.165,297.82,159.794,219.01
8,0.035,catheter3_mid3,tip5,Measured,-172.969,261.301,216.775,30.1,115.3,-99.8,151.268,354.096,343.421,205.367
8,0.035,catheter3_mid3,tip6,Measured,-139.358,255.902,265.361,7.0,79.6,-109.2,133.031,266.328,182.046,280.785
10,0.045,catheter3_mid3,tip7,Mixed,-195.584,369.776,-4.495,31.2,236.2,-36.2,241.351,265.482,178.315,278.258
16,0.075,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
16,0.075,skull,phantom1,Measured,420.186,336.056,221.699,-0.2,-0.7,0.9,1.386,228.086,190.323,182.048
16,0.075,skull,phantom3,Measured,452.726,326.033,134.5,-1.5,-2.0,-0.1,2.363,249.161,286.418,328.994
20,0.095,skull,phantom4,Measured,390.296,301.671,187.422,1.2,0.1,0.2,1.328,273.342,255.37,265.344
23,0.11,catheter3_mid3,tip7,Mixed,-194.144,383.461,-6.454,55.9,132.4,-6.4,144.293,180.318,252.617,252.659
24,0.115,catheter3_mid3,tip1,Measured,-155.795,297.733,170.5,43.8,101.1,-5.7,109.458,175.523,190.575,194.409
24,0.115,catheter3_mid3,tip2,Measured,-177.035,352.117,55.106,53.6,115.5,-4.2,127.388,191.656,220.244,215.406
24,0.115,catheter3_mid3,tip3,Measured,-170.26,300.044,173.686,41.0,86.9,-9.6,102.794,174.594,152.445,161.547
24,0.115,catheter3_mid3,tip4,Measured,-176.106,302.071,225.769,40.0,85.4,-8.0,97.325,144.18,212.713,223.02
24,0.115,catheter3_mid3,tip5,Measured,-177.441,265.651,206.787,49.6,79.7,-22.1,105.178,176.659,146.767,153.703
24,0.115,catheter3_mid3,tip6,Measured,-147.561,255.377,257.212,50.8,91.4,-12.2,108.059,136.364,213.395,224.745
29,0.14,skull,phantom2,Measured,392.548,394.756,178.199,0.6,-0.2,1.4,1.465,141.82,244.084,297.677
31,0.15,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
32,0.155,skull,phantom3,Measured,452.683,326.018,134.512,-1.1,-0.7,-0.8,1.446,281.123,244.642,277.2
32,0.155,catheter3_mid3,tip7,Mixed,-191.513,386.098,-5.679,34.9,-43.2,42.8,76.102,166.295,159.105,320.622
34,0.165,catheter3_mid3,tip2,Measured,-174.529,354.471,56.898,34.9,-36.0,78.5,95.259,240.38,281.929,23.141
39,0.19,skull,phantom1,Measured,420.167,336.044,221.681,0.8,-0.7,-0.4,1.226,253.327,147.679,203.662
39,0.19,skull,phantom4,Measured,390.284,301.634,187.419,-0.4,-0.7,-0.2,1.388,237.437,328.994,276.772
40,0.195,catheter3_mid3,tip1,Measured,-148.776,304.932,177.139,30.5,20.4,159.2,161.997,264.487,242.766,261.278
41,0.2,catheter3_mid3,tip3,Measured,-163.021,307.5,181.774,14.2,12.4,161.8,162.492,232.458,176.719,224.712
41,0.2,catheter3_mid3,tip4,Measured,-165.993,313.635,233.711,25.6,87.6,151.0,176.639,212.924,41.892,192.367
41,0.2,catheter3_mid3,tip5,Measured,-167.573,275.719,217.993,11.7,58.9,200.2,210.026,215.064,32.009,183.737
41,0.2,catheter3_mid3,tip6,Measured,-134.741,270.322,267.203,15.7,117.4,206.0,239.536,232.407,348.483,166.215
44,0.215,skull,phantom2,Measured,392.549,394.776,178.19,-0.8,0.6,0.1,1.334,251.756,312.801,339.642
46,0.225,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
54,0.265,skull,phantom3,Measured,452.695,325.978,134.517,1.4,0.6,-0.7,1.684,242.194,92.594,270.072
55,0.27,catheter3_mid3,tip2,Measured,-169.99,342.377,70.226,60.7,-184.5,167.7,265.164,213.652,50.453,332.414
58,0.285,skull,phantom2,Measured,392.555,394.759,178.205,-0.7,0.9,-0.5,1.129,38.18,299.595,294.224
58,0.285,catheter3_mid3,tip3,Measured,-169.739,297.909,196.027,-42.4,-179.6,203.9,277.24,337.508,207.902,324.915
59,0.29,skull,phantom1,Measured,420.166,336.05,221.705,0.7,-0.6,0.4,1.204,359.233,240.405,299.595
59,0.29,skull,phantom4,Measured,390.289,301.668,187.415,0.0,1.9,0.8,1.541,220.07,357.952,282.469
59,0.29,catheter3_mid3,tip1,Measured,-155.29,293.656,194.713,-18.7,-171.6,221.9,283.47,282.72,0.611,68.612
59,0.29,catheter3_mid3,tip4,Measured,-178.361,303.945,248.07,-76.4,-162.2,196.6,269.054,315.119,1.783,272.858
59,0.29,catheter3_mid3,tip5,Measured,-180.407,265.909,232.518,-65.2,-166.5,203.4,272.002,335.909,300.682,267.538
59,0.29,catheter3_mid3,tip6,Measured,-153.869,259.215,285.187,-120.5,-158.5,237.7,312.59,282.362,313.722,204.76
59,0.29,catheter3_mid3,tip7,Mixed,-181.506,365.328,9.351,124.7,-260.3,178.2,338.854,135.081,130.651,309.082
60,0.295,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
60,0.295,skull,phantom2,Measured,392.554,394.779,178.197,0.5,0.2,1.3,1.08,353.038,284.63,268.024
64,0.315,skull,phantom3,Measured,452.69,325.985,134.495,0.1,-0.5,0.0,1.027,275.54,267.928,292.553
64,0.315,catheter3_mid3,tip3,Measured,-169.08,293.197,202.782,93.2,-139.9,236.9,294.822,87.922,15.267,200.383
65,0.32,catheter3_mid3,tip1,Measured,-153.918,289.046,201.952,103.1,-134.4,257.3,303.922,64.089,2.551,312.538
70,0.345,skull,phantom1,Measured,420.169,336.047,221.681,-0.6,0.1,1.6,1.342,315.083,297.285,224.917
71,0.35,catheter3_mid3,tip2,Measured,-161.56,322.444,86.733,173.1,-288.6,233.2,410.366,43.41,150.515,352.61
72,0.355,catheter3_mid3,tip7,Mixed,-171.185,344.971,21.537,228.5,-336.0,221.0,463.88,91.925,202.274,316.932
73,0.36,skull,phantom4,Measured,390.285,301.64,187.421,0.1,-0.2,0.5,1.081,306.432,359.233,274.786
74,0.365,catheter3_mid3,tip4,Measured,-169.747,298.199,266.408,132.4,-121.3,267.1,322.933,263.536,180.307,213.444
74,0.365,catheter3_mid3,tip5,Measured,-172.051,258.763,254.661,158.1,-139.6,311.9,372.562,83.862,280.204,163.544
74,0.365,catheter3_mid3,tip6,Measured,-144.881,257.305,307.565,134.0,-70.9,320.1,355.958,198.826,278.091,206.556
75,0.37,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
77,0.38,skull,phantom4,Measured,390.288,301.676,187.418,0.6,0.5,0.3,0.832,245.776,238.699,97.564
83,0.41,skull,phantom1,Measured,420.151,336.059,221.689,0.3,-0.9,-0.1,1.038,263.607,174.484,278.685
86,0.425,catheter3_mid3,tip1,Measured,-138.285,270.055,235.174,157.5,-204.7,384.7,468.183,314.638,34.546,263.276
87,0.43,skull,phantom2,Measured,392.558,394.75,178.196,-0.8,0.4,-0.4,1.426,310.133,229.178,296.509
87,0.43,catheter3_mid3,tip3,Measured,-152.386,272.175,237.326,162.7,-201.7,365.3,447.862,315.232,86.239,250.967
87,0.43,catheter3_mid3,tip4,Measured,-165.541,285.458,286.163,85.3,-150.3,329.9,371.41,314.538,308.664,319.699
87,0.43,catheter3_mid3,tip5,Measured,-164.922,245.436,275.801,118.8,-160.8,373.9,424.679,308.406,322.908,344.59
87,0.43,catheter3_mid3,tip6,Measured,-142.987,247.096,331.1,36.4,-89.2,410.4,421.555,286.317,117.176,269.09
87,0.43,catheter3_mid3,tip7,Mixed,-147.458,314.94,42.147,375.7,-402.8,330.6,650.882,321.148,206.373,37.85
88,0.435,skull,phantom3,Measured,452.773,325.977,134.498,-0.5,-0.1,-0.1,4.294,308.139,273.643,263.782
89,0.44,catheter3_mid3,tip2,Measured,-137.042,293.877,114.283,326.1,-325.4,361.1,585.718,319.644,162.466,205.248
90,0.445,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
94,0.465,skull,phantom1,Measured,420.16,336.06,221.67,1.0,0.1,0.5,1.29,287.355,200.358,261.833
100,0.495,skull,phantom3,Measured,452.71,326.014,134.502,-1.1,-0.5,0.3,1.123,224.917,284.795,126.156
100,0.495,catheter3_mid3,tip2,Measured,-115.723,278.656,137.334,478.4,-207.8,488.9,714.207,294.62,179.049,225.873
101,0.5,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
101,0.5,skull,phantom1,Measured,420.143,336.065,221.655,-0.8,0.8,1.0,1.356,87.452,218.38,232.548
101,0.5,skull,phantom2,Measured,392.537,394.78,178.183,-0.8,-1.9,1.8,1.587,254.856,202.305,272.763
101,0.5,skull,phantom3,Measured,452.701,326.008,134.476,-0.2,0.0,0.1,0.928,35.194,214.528,246.808
101,0.5,skull,phantom4,Measured,390.298,301.68,187.423,-0.2,0.0,1.5,1.422,180.0,180.0,304.225
101,0.5,catheter3_mid3,tip1,Measured,-121.999,259.276,267.778,274.3,-85.4,499.0,578.53,272.633,108.105,238.08
101,0.5,catheter3_mid3,tip2,Measured,-113.291,277.669,139.787,493.2,-190.7,502.3,729.688,281.207,175.979,183.743
101,0.5,catheter3_mid3,tip3,Measured,-137.048,261.925,266.24,270.5,-112.1,475.7,556.412,295.715,189.067,12.694
101,0.5,catheter3_mid3,tip4,Measured,-155.265,278.668,312.346,162.4,-95.4,431.4,468.007,306.285,297.098,171.497
101,0.5,catheter3_mid3,tip5,Measured,-152.467,238.081,305.643,224.6,-98.0,458.6,517.92,294.83,39.018,252.973
101,0.5,catheter3_mid3,tip6,Measured,-135.8,245.102,362.39,108.7,-41.8,491.1,501.217,290.734,311.757,300.73
101,0.5,catheter3_mid3,tip7,Mixed,-114.32,290.79,69.907,599.9,-290.0,480.9,819.953,285.228,208.015,271.891
102,0.505,skull,phantom4,Measured,390.298,301.667,187.43,-0.4,1.1,-0.1,1.615,189.904,260.361,271.791
102,0.505,catheter3_mid3,tip3,Measured,-135.685,261.35,268.657,276.6,-102.6,484.2,563.227,275.29,16.112,241.62
103,0.51,catheter3_mid3,tip4,Measured,-153.646,277.754,316.717,148.5,-86.1,428.0,463.581,274.787,301.775,281.351
103,0.51,catheter3_mid3,tip5,Measured,-150.161,237.138,310.229,240.8,-90.6,472.4,528.746,270.16,34.322,265.833
103,0.51,catheter3_mid3,tip6,Measured,-134.72,244.727,367.287,104.9,-24.9,488.1,502.131,224.967,32.112,159.158
104,0.515,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
106,0.525,skull,phantom4,Measured,390.292,301.699,187.429,0.3,1.2,-1.3,1.496,77.873,145.806,279.026
112,0.555,catheter3_mid3,tip1,Measured,-106.017,258.542,297.382,297.5,65.6,562.9,641.252,245.125,15.803,74.965
113,0.56,skull,phantom3,Measured,452.714,326.034,134.486,-0.1,-0.1,-0.1,0.698,222.952,266.414,264.777
113,0.56,catheter3_mid3,tip3,Measured,-119.295,259.841,296.407,307.1,54.3,532.5,619.991,250.245,74.077,304.384
113,0.56,catheter3_mid3,tip4,Measured,-145.309,277.059,338.687,184.5,83.0,449.2,492.962,208.438,316.274,278.283
113,0.56,catheter3_mid3,tip6,Measured,-129.763,248.029,392.821,91.0,174.2,526.8,564.264,314.253,2.133,3.382
114,0.565,catheter3_mid3,tip2,Measured,-77.502,270.756,176.417,561.0,-45.2,614.5,835.073,270.713,70.476,274.795
114,0.565,catheter3_mid3,tip5,Measured,-136.571,237.1,337.445,242.9,102.2,535.2,595.251,214.849,309.635,260.269
114,0.565,catheter3_mid3,tip7,Mixed,-70.244,279.34,106.256,681.8,-118.3,614.5,931.659,277.103,170.197,195.557
117,0.58,skull,phantom1,Measured,420.158,336.084,221.666,0.4,0.2,-0.3,1.992,238.699,257.888,244.642
117,0.58,skull,phantom2,Measured,392.532,394.763,178.159,1.3,0.8,-0.1,1.383,203.662,350.096,33.269
119,0.59,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
120,0.595,skull,phantom3,Measured,452.698,326.023,134.485,1.1,0.4,-0.2,1.052,308.216,303.525,197.798
121,0.6,catheter3_mid3,tip3,Measured,-107.251,263.84,319.372,305.0,140.3,618.7,699.808,239.103,1.943,137.955
122,0.605,catheter3_mid3,tip1,Measured,-91.371,264.541,327.657,290.5,153.1,645.5,720.42,229.165,323.301,219.552
127,0.63,skull,phantom4,Measured,390.295,301.667,187.434,0.9,-0.6,-0.8,1.217,300.645,301.301,271.333
128,0.635,catheter3_mid3,tip7,Mixed,-23.375,273.559,155.452,662.7,-2.5,762.6,1010.511,260.798,129.526,142.227
129,0.64,catheter3_mid3,tip2,Measured,-37.644,270.26,227.88,517.6,55.1,736.6,899.371,253.374,278.274,110.879
130,0.645,catheter3_mid3,tip5,Measured,-117.925,251.389,384.739,205.2,168.2,556.2,637.029,240.302,317.476,41.767
130,0.645,catheter3_mid3,tip6,Measured,-120.613,270.757,441.03,84.4,214.6,556.6,601.338,282.175,340.346,205.895
131,0.65,catheter3_mid3,tip4,Measured,-126.878,292.196,384.068,186.8,140.3,513.6,564.761,236.407,278.847,313.361
133,0.66,skull,phantom1,Measured,420.134,336.072,221.661,-1.1,-0.1,-0.4,0.93,319.676,172.789,191.286
133,0.66,skull,phantom2,Measured,392.535,394.775,178.175,0.1,0.4,0.0,0.892,359.233,249.63,290.37
134,0.665,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
139,0.69,skull,phantom1,Measured,420.127,336.077,221.65,0.0,-0.5,-0.1,0.843,280.871,228.662,281.123
141,0.7,skull,phantom3,Measured,452.749,325.993,134.458,0.4,-0.5,0.8,4.529,310.904,272.293,266.298
142,0.705,catheter3_mid3,tip2,Measured,-3.917,279.785,275.412,512.9,229.1,712.4,907.4,233.094,77.56,342.541
142,0.705,catheter3_mid3,tip7,Mixed,22.5,280.864,209.746,633.9,202.4,778.6,1019.744,241.004,143.556,317.954
143,0.71,skull,phantom4,Measured,390.297,301.71,187.433,0.6,-0.9,-0.7,1.138,106.865,180.767,275.069
144,0.715,catheter3_mid3,tip1,Measured,-62.936,282.148,395.682,264.4,183.0,582.4,664.612,200.129,307.793,187.838
144,0.715,catheter3_mid3,tip3,Measured,-75.372,279.606,387.213,290.9,160.4,544.6,636.056,216.755,316.868,105.309
144,0.715,catheter3_mid3,tip5,Measured,-103.08,258.488,421.104,258.8,140.2,483.2,568.029,213.325,257.141,136.579
145,0.72,catheter3_mid3,tip4,Measured,-116.018,297.955,416.522,192.1,113.9,413.7,474.638,217.63,63.113,215.171
145,0.72,catheter3_mid3,tip6,Measured,-117.5,279.885,477.387,99.4,173.0,433.0,477.345,99.569,14.15,3.903
146,0.725,skull,phantom2,Measured,392.54,394.77,178.161,0.7,0.7,0.8,1.256,180.0,180.0,297.056
148,0.735,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
149,0.74,skull,phantom1,Measured,420.143,336.074,221.66,-0.1,0.0,0.8,0.937,258.386,238.699,312.801
155,0.77,catheter3_mid3,tip7,Mixed,61.367,299.073,254.262,553.8,336.2,596.6,879.126,221.619,182.521,269.605
156,0.775,skull,phantom4,Measured,390.3,301.676,187.436,0.5,-0.5,1.2,1.486,325.18,201.393,247.881
156,0.775,catheter3_mid3,tip1,Measured,-43.45,299.373,426.242,374.8,320.7,436.5,656.535,226.718,176.229,242.998
156,0.775,catheter3_mid3,tip2,Measured,30.455,299.454,319.457,456.8,310.3,528.4,764.345,218.069,178.015,338.457
157,0.78,skull,phantom2,Measured,392.54,394.804,178.146,-0.7,0.2,0.3,1.186,272.876,327.043,337.697
157,0.78,skull,phantom3,Measured,452.699,326.024,134.46,-0.1,-0.3,0.1,0.726,232.852,144.806,281.614
159,0.79,catheter3_mid3,tip3,Measured,-49.237,299.175,423.536,367.8,217.4,400.9,590.668,240.319,199.44,102.947
159,0.79,catheter3_mid3,tip5,Measured,-77.822,278.188,456.928,378.9,230.7,401.9,598.849,249.88,205.462,312.667
159,0.79,catheter3_mid3,tip6,Measured,-99.937,301.777,507.132,320.9,251.5,375.3,553.103,251.309,178.652,266.368
161,0.8,catheter3_mid3,tip4,Measured,-91.539,316.082,448.36,326.3,159.4,327.1,488.713,258.445,204.661,147.235
163,0.81,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
