Y,Z,X
-12.724313735961914,0.0,-185.59725952148438
-12.724313735961914,7.0,-185.59725952148438
-3.721827983856201,0.0,-82.69854736328125
-3.720335006713867,7.0,-82.6814956665039
-19.697675704956055,0.0,-184.98716735839844
-19.697675704956055,7.0,-184.98716735839844
-10.796431541442871,0.0,-83.24565124511719
-10.799297332763672,7.0,-83.27840423583984
-8.802298545837402,0.0,-140.76849365234375
-8.802298545837402,7.0,-140.76849365234375
-15.77566146850586,0.0,-140.1584014892578
-15.77566146850586,7.0,-140.1584014892578
-9.412388801574707,0.0,-147.74185180664062
-16.385751724243164,7.0,-147.1317596435547
-9.412388801574707,7.0,-147.74185180664062
-16.385751724243164,0.0,-147.1317596435547
-68.18787384033203,0.0,-142.5996551513672
-67.5777816772461,0.0,-135.6262969970703
-67.5777816772461,7.0,-135.6262969970703
-68.18787384033203,7.0,-142.5996551513672
11.507699012756348,7.0,-149.57212829589844
12.117789268493652,7.0,-142.59877014160156
12.117789268493652,0.0,-142.59877014160156
11.507699012756348,0.0,-149.57212829589844
-9.412388801574707,-70.0,-147.74185180664062
-8.802298545837402,-70.0,-140.76849365234375
-15.77566146850586,-70.0,-140.1584014892578
-16.385751724243164,-70.0,-147.1317596435547
