FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY,ANGLEXY,ANGLEXZ,ANGLEYZ
1,0.0,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
1,0.0,skull,phantom1,Measured,420.51,336.515,221.209,,,,,127.676,197.252,215.476
1,0.0,skull,phantom2,Measured,391.04,395.565,178.463,,,,,318.145,241.888,313.803
1,0.0,skull,phantom3,Measured,452.22,328.501,133.566,,,,,180.767,248.971,248.971
1,0.0,skull,phantom4,Measured,391.059,301.759,187.236,,,,,205.927,251.535,247.736
1,0.0,catheter3_mid3,tip1,Measured,317.809,477.105,47.179,,,,,283.605,231.25,317.336
1,0.0,catheter3_mid3,tip2,Measured,191.795,475.352,18.824,,,,,147.291,320.531,312.425
1,0.0,catheter3_mid3,tip3,Measured,319.722,469.272,34.354,,,,,223.641,282.061,288.038
1,0.0,catheter3_mid3,tip4,Measured,365.141,446.944,29.917,,,,,160.037,317.347,319.911
1,0.0,catheter3_mid3,tip5,Measured,364.215,489.627,30.78,,,,,87.842,41.518,80.086
1,0.0,catheter3_mid3,tip6,Measured,412.476,475.081,62.19,,,,,258.542,102.489,269.673
1,0.0,catheter3_mid3,tip7,Virtual,124.056,468.37,-3.301,,,,,163.021,260.225,130.059
2,0.005,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
6,0.025,skull,phantom3,Measured,452.021,328.302,133.496,-12.4,-9.5,6.4,11.472,271.965,281.614,297.667
6,0.025,catheter3_mid3,tip3,Measured,319.428,469.072,34.415,-5.9,-2.9,-2.3,10.617,256.848,1.279,149.184
6,0.025,catheter3_mid3,tip5,Measured,363.997,489.351,30.348,8.5,-16.4,10.9,21.543,338.129,294.472,241.387
7,0.03,catheter3_mid3,tip2,Measured,191.474,474.988,19.056,-22.5,-6.4,25.3,36.052,77.37,150.775,250.742
7,0.03,catheter3_mid3,tip4,Measured,365.115,446.577,30.18,-9.7,7.8,-13.0,29.977,193.974,236.982,94.828
8,0.035,skull,phantom1,Measured,420.728,336.774,221.406,5.3,9.6,-0.2,9.367,234.399,136.944,9.339
8,0.035,skull,phantom2,Measured,390.698,395.804,178.307,-7.4,-82.7,-18.9,76.534,152.52,264.15,272.882
8,0.035,skull,phantom4,Measured,391.229,301.902,187.289,16.7,-21.1,30.4,43.704,270.043,294.319,277.363
8,0.035,catheter3_mid3,tip1,Measured,317.972,477.067,47.444,3.0,-5.3,3.1,6.334,233.022,56.763,336.396
8,0.035,catheter3_mid3,tip6,Measured,412.704,475.126,62.473,13.0,18.0,-8.3,13.219,229.763,98.151,23.017
8,0.035,catheter3_mid3,tip7,Virtual,124.12,468.238,-2.687,9.5,0.3,-30.6,36.261,265.005,317.19,164.737
13,0.06,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
14,0.065,skull,phantom1,Measured,420.46,336.625,221.094,0.0,0.0,0.1,1.408,162.787,243.026,245.274
14,0.065,skull,phantom2,Measured,390.983,395.227,178.336,-0.1,-2.0,0.5,1.432,357.661,188.506,296.974
