FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY,ANGLEXY,ANGLEXZ,ANGLEYZ
1,0.0,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
1,0.0,skull,phantom1,Measured,420.188,336.076,221.468,,,,,278.535,305.336,260.283
1,0.0,skull,phantom2,Measured,392.34,395.01,178.267,,,,,247.323,220.857,88.625
1,0.0,skull,phantom3,Measured,452.539,326.562,134.224,,,,,153.291,221.061,274.885
1,0.0,skull,phantom4,Measured,390.401,301.714,187.366,,,,,284.748,243.89,261.459
1,0.0,catheter3_mid3,tip1,Measured,318.302,482.731,15.399,,,,,340.046,308.249,250.161
1,0.0,catheter3_mid3,tip2,Measured,190.12,482.585,2.94,,,,,315.542,214.528,281.718
1,0.0,catheter3_mid3,tip3,Measured,316.081,482.797,31.253,,,,,241.112,275.933,267.789
1,0.0,catheter3_mid3,tip4,Measured,362.162,514.566,31.023,,,,,299.457,237.672,17.661
1,0.0,catheter3_mid3,tip5,Measured,358.051,481.087,54.561,,,,,239.086,259.438,247.881
1,0.0,catheter3_mid3,tip6,Measured,414.004,478.254,34.481,,,,,318.678,148.616,280.328
1,0.0,catheter3_mid3,tip7,Mixed,119.283,489.149,2.465,,,,,259.385,298.979,296.851
2,0.005,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
6,0.025,skull,phantom1,Measured,420.264,335.826,221.426,-9.6,-6.3,0.0,10.641,272.274,190.48,257.917
6,0.025,skull,phantom2,Measured,392.608,395.111,178.457,8.1,42.6,24.4,59.193,289.567,339.845,210.677
6,0.025,skull,phantom3,Measured,452.597,326.08,134.265,-23.7,-6.2,9.4,27.984,171.966,294.224,272.191
6,0.025,skull,phantom4,Measured,390.256,301.295,187.304,-29.5,9.0,-26.6,33.91,224.607,22.049,235.957
6,0.025,catheter3_mid3,tip1,Measured,318.601,482.203,15.223,21.1,-24.0,-2.0,28.503,177.91,125.918,255.846
6,0.025,catheter3_mid3,tip2,Measured,190.211,482.238,3.01,-0.9,-6.9,6.6,5.57,323.424,57.373,266.488
6,0.025,catheter3_mid3,tip7,Mixed,119.433,488.234,2.866,-4.1,-18.7,7.8,46.198,224.346,319.549,296.476
7,0.03,catheter3_mid3,tip3,Measured,316.207,482.46,31.24,3.9,-6.0,3.7,8.214,284.409,76.841,275.786
7,0.03,catheter3_mid3,tip4,Measured,362.6,514.358,31.248,-25.0,-33.4,-21.7,49.393,278.009,206.222,255.785
7,0.03,catheter3_mid3,tip6,Measured,414.035,477.94,34.537,14.6,-1.1,-2.3,16.746,301.799,300.13,280.647
8,0.035,catheter3_mid3,tip5,Measured,358.435,481.277,54.631,0.7,2.3,-19.8,12.35,240.336,181.557,11.488
26,0.125,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
26,0.125,skull,phantom3,Measured,452.642,326.551,134.247,-0.2,-0.6,0.0,0.929,306.943,286.752,325.472
26,0.125,catheter3_mid3,tip3,Measured,316.232,482.768,31.209,1.5,-0.5,-0.5,2.078,286.025,83.504,82.252
26,0.125,catheter3_mid3,tip4,Measured,362.24,514.408,30.946,0.2,0.9,-0.5,2.132,357.952,286.831,258.953
26,0.125,catheter3_mid3,tip7,Mixed,119.279,489.098,2.492,0.9,-3.1,-2.1,4.32,193.134,212.33,243.057
27,0.13,catheter3_mid3,tip1,Measured,318.679,482.587,15.316,2.0,-1.3,-1.7,3.413,198.88,180.767,320.994
28,0.135,skull,phantom1,Measured,420.32,336.081,221.479,-0.1,-0.5,-0.6,1.229,63.615,22.572,334.718
28,0.135,skull,phantom2,Measured,392.48,394.751,178.168,0.8,-0.3,0.9,1.349,241.732,241.732,180.767
28,0.135,skull,phantom4,Measured,390.325,301.558,187.445,-0.5,-0.7,-1.1,1.299,203.662,241.503,263.359
28,0.135,catheter3_mid3,tip6,Measured,414.161,478.272,34.476,-0.9,-0.1,0.8,1.093,266.65,271.42,281.859
30,0.145,catheter3_mid3,tip5,Measured,358.188,481.159,54.385,-0.3,-1.9,0.2,4.135,12.471,194.854,295.968
36,0.175,catheter3_mid3,tip2,Measured,190.191,482.63,3.034,-0.1,-2.6,1.1,4.811,240.699,164.638,338.24
50,0.245,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
53,0.26,catheter3_mid3,tip7,Mixed,119.296,489.007,2.452,0.4,-1.8,0.7,3.206,268.958,305.596,205.984
54,0.265,catheter3_mid3,tip1,Measured,318.727,482.521,15.364,0.1,-0.2,0.9,2.508,275.263,155.585,231.624
55,0.27,catheter3_mid3,tip3,Measured,316.254,482.762,31.237,0.5,0.7,0.3,1.523,352.398,211.938,228.867
57,0.28,skull,phantom1,Measured,420.31,336.068,221.49,-0.5,-2.0,-0.9,2.033,11.959,299.147,242.715
59,0.29,skull,phantom4,Measured,390.312,301.506,187.439,0.4,0.6,-2.3,2.171,76.311,299.595,108.62
59,0.29,catheter3_mid3,tip5,Measured,358.179,481.112,54.405,0.3,-1.7,-0.2,4.976,141.82,44.522,273.35
62,0.305,catheter3_mid3,tip6,Measured,414.166,478.288,34.523,1.0,-1.0,-1.7,2.916,195.388,272.157,224.408
66,0.325,catheter3_mid3,tip4,Measured,362.268,514.366,30.938,0.3,-0.2,-2.0,1.662,180.767,279.205,279.205
69,0.34,catheter3_mid3,tip2,Measured,190.136,482.604,2.975,-2.5,-2.6,3.1,4.847,35.194,260.877,265.467
70,0.345,skull,phantom3,Measured,452.656,326.499,134.287,-0.7,0.9,-0.3,1.424,65.858,333.142,122.627
73,0.36,skull,phantom2,Measured,392.504,394.762,178.179,0.6,0.6,0.1,1.831,103.689,266.192,227.199
74,0.365,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
78,0.385,skull,phantom1,Measured,420.327,336.05,221.482,1.5,-0.1,0.2,1.32,180.0,180.0,19.203
80,0.395,skull,phantom2,Measured,392.502,394.752,178.204,0.4,-0.5,-0.6,1.82,286.673,295.916,182.048
80,0.395,skull,phantom3,Measured,452.643,326.474,134.257,0.6,0.3,1.1,1.058,299.46,267.124,325.18
80,0.395,skull,phantom4,Measured,390.311,301.511,187.431,1.0,-0.4,0.4,1.339,286.673,329.977,246.523
80,0.395,catheter3_mid3,tip1,Measured,318.707,482.46,15.328,-1.2,-1.7,2.1,3.349,297.967,228.662,256.43
80,0.395,catheter3_mid3,tip3,Measured,316.252,482.709,31.204,0.4,0.3,0.7,0.787,308.874,283.567,144.387
80,0.395,catheter3_mid3,tip5,Measured,358.178,481.092,54.469,0.3,-0.2,-1.4,1.611,208.159,215.028,193.402
80,0.395,catheter3_mid3,tip6,Measured,414.168,478.227,34.482,-0.8,-0.2,-0.5,1.386,256.03,198.321,61.162
88,0.435,catheter3_mid3,tip2,Measured,190.174,482.68,2.981,0.2,-0.6,1.5,3.318,215.82,353.011,315.806
90,0.445,catheter3_mid3,tip4,Measured,362.267,514.365,30.979,0.2,1.5,-0.2,2.111,35.194,43.972,307.812
94,0.465,catheter3_mid3,tip7,Mixed,119.241,489.006,2.137,0.5,1.7,-0.4,19.223,224.917,312.315,350.835
98,0.485,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
101,0.5,skull,midpoint,calculated,391.053,333.058,184.309,,,,,180.0,180.0,180.0
101,0.5,skull,phantom1,Measured,420.327,336.063,221.504,2.1,0.0,2.4,4.603,212.078,224.576,247.032
101,0.5,skull,phantom2,Measured,392.5,394.74,178.186,-0.1,0.3,-0.7,1.507,280.534,197.412,47.374
101,0.5,skull,phantom3,Measured,452.646,326.482,134.276,0.5,-0.3,0.3,1.032,65.391,224.524,249.171
101,0.5,skull,phantom4,Measured,390.314,301.529,187.438,-0.5,-0.7,-0.9,1.547,152.873,223.761,247.333
101,0.5,catheter3_mid3,tip1,Measured,318.723,482.503,15.338,-1.0,0.1,-0.1,1.408,41.402,235.229,250.799
101,0.5,catheter3_mid3,tip2,Measured,190.144,482.637,3.01,-1.2,3.2,-4.3,3.959,323.088,60.609,289.961
101,0.5,catheter3_mid3,tip3,Measured,316.263,482.737,31.236,-0.4,-0.2,-0.8,1.046,310.863,241.795,254.323
101,0.5,catheter3_mid3,tip4,Measured,362.273,514.377,30.972,0.7,-1.4,0.7,1.22,62.741,242.137,252.493
101,0.5,catheter3_mid3,tip5,Measured,358.195,481.106,54.482,1.2,-0.7,0.4,1.19,124.806,244.706,256.766
101,0.5,catheter3_mid3,tip6,Measured,414.171,478.26,34.525,0.4,1.3,-0.7,1.447,196.725,242.715,253.419
101,0.5,catheter3_mid3,tip7,Mixed,119.292,489.04,2.425,-0.5,-2.5,2.2,2.983,84.216,250.902,258.576
117,0.58,skull,phantom1,Measured,420.418,336.223,221.565,-1.7,-0.9,-1.5,1.849,202.711,172.016,219.276
117,0.58,skull,phantom2,Measured,392.346,394.768,178.047,0.6,-1.2,-0.4,23.232,274.295,223.641,250.127
117,0.58,skull,phantom3,Measured,452.725,326.634,134.329,2.5,1.2,-2.8,3.179,293.439,174.022,218.057
117,0.58,skull,phantom4,Measured,390.395,301.675,187.493,-0.3,-0.4,-0.6,0.86,288.771,249.893,263.122
117,0.58,catheter3_mid3,tip1,Measured,318.822,482.67,15.392,0.6,-0.4,-1.5,1.734,338.554,249.565,258.321
117,0.58,catheter3_mid3,tip2,Measured,190.009,483.162,2.834,2.0,-1.3,1.5,2.79,194.391,160.857,131.342
117,0.58,catheter3_mid3,tip3,Measured,316.357,482.898,31.279,-0.6,0.0,1.0,1.242,64.361,199.573,223.339
117,0.58,catheter3_mid3,tip4,Measured,362.368,514.522,31.015,1.0,1.2,-0.6,1.934,182.395,213.148,212.39
117,0.58,catheter3_mid3,tip5,Measured,358.284,481.269,54.519,0.2,-1.4,-1.0,1.515,127.692,206.386,221.245
117,0.58,catheter3_mid3,tip6,Measured,414.261,478.402,34.565,0.3,2.4,-0.1,1.678,180.767,198.71,198.71
117,0.58,catheter3_mid3,tip7,Mixed,119.407,489.228,2.462,-0.3,3.7,-0.5,11.122,142.426,212.184,239.281
