NO_OF_FRAMES	7320
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:50:43.813	92047.82596720
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
1	0.00000	417.579	334.966	220.962	390.210	393.906	177.601	450.148	324.923	133.790	387.795	300.785	186.772	-161.262	282.342	176.731	-186.203	329.033	58.900	-175.694	285.511	180.474	-177.555	292.372	232.747	-181.049	254.217	217.142	-147.505	248.298	266.122	-201.906	359.489	-3.467
2	0.00500	417.585	334.958	220.960	390.217	393.913	177.593	450.150	324.919	133.791	387.805	300.782	186.764	-160.241	283.653	176.702	-185.477	330.127	58.859	-174.660	286.720	180.514	-176.458	293.775	232.740	-179.795	255.547	217.232	-146.141	249.914	266.166	-201.149	360.258	-3.620
3	0.01000	417.580	334.963	220.961	390.222	393.897	177.598	450.148	324.916	133.794	387.799	300.781	186.770	-159.321	284.916	176.577	-184.827	331.280	58.746	-173.762	287.967	180.409	-175.469	295.053	232.662	-178.717	256.796	217.208	-144.922	251.363	266.100	-200.597	361.441	-3.742
4	0.01500	417.575	334.959	220.956	390.213	393.910	177.594	450.153	324.917	133.802	387.750	300.498	186.945	-158.549	286.095	176.428	-184.165	332.480	58.682	-172.904	288.865	180.396	-174.670	296.218	232.487	-177.646	257.988	217.217	-143.946	252.713	265.792	-200.226	362.874	-3.752
5	0.02000	417.579	334.957	220.966	390.212	393.907	177.600	450.147	324.913	133.788	387.755	300.498	186.939	-157.875	287.202	176.237	-183.649	333.679	58.516	-172.252	289.895	180.119	-173.997	297.272	232.315	-176.912	259.004	216.952	-143.143	253.810	265.524	-199.834	364.058	-3.847
6	0.02500	417.537	335.036	220.897	390.065	393.775	177.391	450.151	324.955	133.601	387.774	300.556	187.107	-157.381	288.218	175.772	-183.215	334.886	58.260	-171.662	291.184	179.875	-173.692	298.244	231.446	-176.425	260.397	216.392	-142.684	254.734	265.279	-199.623	365.547	-4.312
7	0.03000	417.639	335.052	221.042	390.093	393.868	177.436	450.372	325.261	133.910	387.935	300.323	187.321	-157.023	289.196	175.525	-182.853	336.054	58.080	-171.264	292.088	179.515	-173.242	298.857	231.346	-175.859	260.792	216.165	-142.186	255.311	265.105	-198.975	366.431	-4.286
8	0.03500	417.607	335.028	220.843	390.033	393.797	177.330	450.312	325.187	133.555	387.671	300.702	186.578	-156.833	289.969	175.226	-182.510	337.189	57.847	-171.017	292.825	179.225	-173.079	299.453	231.112	-175.676	261.250	215.930	-142.074	255.794	264.516	-198.708	367.642	-4.549
9	0.04000	417.618	334.874	220.975	390.076	393.648	177.479	450.171	324.806	133.773	387.683	300.519	186.731	-156.667	290.786	174.814	-182.262	338.278	57.646	-170.890	293.519	178.845	-173.074	299.914	230.757	-175.558	261.945	215.167	-142.116	256.107	264.013	-198.386	368.759	-4.860
10	0.04500	417.631	334.870	220.975	390.082	393.635	177.498	450.175	324.808	133.787	387.699	300.521	186.722	-156.637	291.401	174.520	-182.164	339.333	57.293	-170.848	294.149	178.452	-173.242	300.232	230.386	-175.634	262.356	214.564	-142.382	256.262	263.459	-198.078	369.520	-5.192
