I,J,K
2,4,1
3,2,1
1,4,5
5,4,0
5,0,6
7,6,0
6,7,8
8,7,2
8,2,3
4,2,7
4,7,0
10,3,1
10,11,3
5756,1,5
10,1,5756
5106,9,5
5,6,5106
8,5106,6
5106,8,11
3,11,8
5756,5,9
18,13,14
1476,14,13
1476,12,14
12,1476,4240
15,13,17
13,18,17
4240,16,12
15,16,4240
2854,76,1606
5314,5281,136
4390,3977,1416
3944,4993,4543
595,4117,3482
295,349,3211
2547,209,644
3595,1278,3779
2756,351,596
1084,909,358
2840,1800,457
420,3880,1984
2714,425,3739
171,1088,1052
602,1124,498
927,4168,1577
1407,2470,2773
580,1085,794
932,336,1382
610,5330,611
620,3770,40
2960,3397,3837
627,557,2133
2220,2681,4659
1619,5394,1918
33,652,3550
100,656,3283
4410,1904,539
2310,4526,5366
41,734,3779
637,4019,219
521,2695,741
312,941,3002
255,1726,4586
1106,2850,3110
566,1488,2382
2693,898,899
512,599,55
2273,4159,146
2492,930,3216
1378,1440,1991
3740,4069,2086
974,975,976
2829,1153,563
877,1000,279
2236,3620,1019
4353,2888,1744
3318,2543,1079
4910,731,1371
1633,1237,1733
2830,1012,1107
2625,2058,276
851,385,2500
4533,1140,1078
1634,1709,2143
352,3218,2394
2045,4429,1171
4604,840,4295
37,2275,38
661,1495,2284
609,3593,1557
2840,1332,1331
5945,6719,6914
1056,2812,483
1242,1281,5779
1354,1699,1355
195,815,1343
1144,1354,1355
2683,3910,3894
1327,1925,3760
691,1440,1380
3807,2629,445
3647,1980,1423
4382,1427,4386
4729,2058,1466
4631,1402,2485
1470,354,672
299,1232,2605
3473,1497,3242
859,1011,1730
655,547,290
4467,4470,1528
1634,1173,1709
2552,2429,3669
728,1560,135
2840,3662,221
485,1847,1850
3121,672,3806
823,371,1220
1405,3588,1596
3327,591,1095
111,1346,4176
2705,2562,1636
986,985,144
1647,5277,5276
1610,1397,1668
816,698,28
917,559,1392
1278,1947,1572
4650,3795,1641
2885,2396,1523
4952,491,1769
1788,3181,3778
4259,4031,1206
5172,1808,5036
358,2397,3095
3524,1646,3632
4295,3166,2740
5027,579,6340
1877,6503,5108
3629,1887,882
5216,4935,127
3937,4013,2496
2519,2146,2487
1667,1937,2387
5134,319,2215
1958,4196,1750
628,3066,139
2704,86,960
1922,4108,2057
3352,2483,2078
3587,2087,2251
2020,2142,616
5107,1271,2100
4045,1049,525
4983,987,1914
1865,405,4276
2436,2192,460
1945,2159,2196
1572,2199,753
2409,4026,2000
1169,1886,1570
4868,1474,5314
193,3112,2615
2953,5904,1881
3179,158,2255
2606,2264,2451
5285,4381,2222
2214,3132,949
4124,1032,1143
2176,1947,2305
4551,4962,3737
1389,193,2615
2321,4461,314
2183,91,607
4347,2352,5583
3450,134,4410
1499,1592,3855
3904,3433,1807
4711,1897,2023
1122,473,2668
2402,1309,45
4612,292,1114
2426,1431,4883
2427,3691,743
2038,910,434
1617,5549,3498
3073,405,2448
473,954,1531
1343,2498,195
4154,3388,4129
3854,2518,3609
2423,194,1615
645,359,4044
3660,304,2854
3533,472,786
2064,2065,3419
974,1087,975
3946,4936,6753
2556,1212,2985
646,835,770
2799,1197,2794
2568,2794,491
2578,2579,2372
467,2589,1084
2595,3771,313
4433,435,1612
407,3092,4068
5497,1808,3225
2518,3242,3609
28,1593,816
22,249,640
2614,2567,5658
3114,4445,2619
2991,1003,1030
3152,702,701
978,2423,1615
2639,2854,304
805,1196,820
4616,1565,2187
1718,827,1990
432,4041,3889
2505,289,190
696,2418,514
2870,3429,1839
5165,3878,768
2520,504,4686
2692,3475,2693
626,192,1804
85,1137,954
4904,4783,3205
311,1017,325
2220,4156,2681
19,2600,3818
1688,131,1764
1915,81,3886
5342,3580,2554
1421,1422,3300
3464,2786,2660
2583,748,714
4371,2523,1361
1934,2098,2808
1667,2801,1937
3242,2189,3609
3293,5030,2719
674,597,3443
4023,2814,2466
336,2816,1382
2197,1888,1855
1825,2061,2835
1404,3262,4837
2467,3087,3799
492,4728,762
2416,1677,1979
46,2868,2869
1613,2882,2711
2884,273,2047
4404,1453,2255
750,1969,2897
3707,2435,132
78,2211,79
83,4159,2273
169,152,3379
212,4187,3281
1918,1508,1382
2165,766,2938
1733,1237,43
1620,1090,3051
773,1293,42
1723,3714,1628
3044,3800,1711
2978,644,563
652,33,34
3176,1898,1131
5815,6163,4634
2988,2307,317
3008,742,5023
2635,4078,3540
1408,1998,3001
1741,3002,498
685,1287,1479
577,3004,2593
2481,2658,2370
3012,1503,1161
4119,1635,5074
2814,1935,1123
3057,3068,4932
3312,1176,1177
2142,3070,3657
3595,3779,734
4268,646,2910
3194,6065,6666
3033,2459,3092
2397,2642,3095
3098,3052,2075
1505,64,1168
2388,4707,2467
2738,466,3209
1239,879,3514
3857,263,82
2303,216,858
2059,529,1279
3866,21,591
1370,3053,3054
1319,133,5078
1205,3040,90
789,517,782
51,2279,2621
3152,5419,5088
2413,2839,3345
2886,3157,2801
3766,940,2060
3167,2888,3126
5194,2461,1485
240,1228,865
2493,4861,1900
3779,1278,1572
1284,181,1283
398,1318,3659
4430,134,1871
1539,5324,5635
2741,1238,235
2139,4838,4600
4504,3240,4499
2346,4490,4489
1073,2561,4833
609,27,2077
3360,3282,879
1607,1430,4943
3859,127,1234
2375,3506,1930
3138,581,582
3294,2287,3774
3516,447,2826
3298,493,992
5011,733,2218
765,1369,4287
3069,1435,1634
1488,5681,1914
2738,919,466
88,1247,3143
3322,1337,1302
1204,3324,900
87,2601,2431
3850,808,3309
2530,603,2730
740,2846,1745
643,3236,3573
1450,643,3573
4162,2880,4665
1168,64,849
790,2977,1260
3658,1040,760
650,4265,2074
1496,2605,3029
3534,1146,1745
1244,1621,1938
4824,658,4842
2784,4585,4792
3726,4067,1841
1137,1879,2997
4186,3040,5165
279,2221,128
3775,1246,4200
1263,144,1271
4017,123,2561
4489,5137,3410
4050,906,1957
476,3416,147
3418,3550,1213
4938,3115,3425
318,4621,3071
720,4191,3421
3091,3424,4392
424,2101,203
2695,580,1340
1173,2717,1709
1627,955,2350
1798,4530,5251
1036,4162,4665
1236,2029,2690
494,2576,3442
3477,437,2692
5394,1909,213
3501,3789,1827
2759,2524,2511
193,1389,1604
482,2009,3198
1450,3573,1303
2421,5288,3639
1249,1700,3051
1757,3526,2640
411,119,1250
3514,3350,1239
562,3940,3566
202,203,2101
1435,3226,3421
2730,2768,2770
1963,3128,2736
1614,1290,352
2300,2625,908
2015,2165,4017
