I,J,K
6,7,8
6,8,9
10,11,12
13,12,11
10,14,11
15,16,17
18,17,16
15,19,16
20,21,22
23,22,21
20,24,21
25,26,20
24,20,26
25,27,26
22,28,15
19,15,28
22,23,28
29,30,31
32,31,30
33,30,29
17,34,29
29,34,33
17,18,34
31,35,10
14,10,35
32,35,31
36,37,38
36,38,39
40,41,42
40,42,43
13,40,43
13,43,12
44,45,46
44,46,47
37,44,47
37,47,38
45,6,9
45,9,46
55,56,57
55,57,58
7,58,8
56,54,57
53,59,54
60,48,51
60,51,61
62,63,64
65,66,67
65,67,68
49,65,68
49,68,50
71,72,73
74,73,72
71,75,72
76,77,78
79,78,77
76,80,77
81,82,83
81,83,84
85,86,87
85,87,88
87,89,84
81,84,89
86,89,87
90,91,92
93,92,91
90,94,91
82,94,90
82,90,83
92,95,76
80,76,95
92,93,95
96,97,98
99,98,97
100,97,96
101,102,103
104,103,102
105,102,101
103,106,96
100,96,106
103,104,106
107,108,109
98,111,110
107,110,111
98,99,111
109,112,71
71,112,75
108,112,109
113,114,115
116,115,114
113,117,114
118,119,120
122,123,124
125,124,123
122,126,123
73,127,122
126,122,127
74,127,73
124,128,121
118,121,128
124,125,128
129,130,131
132,131,130
129,133,130
120,134,129
133,129,134
120,119,134
132,117,113
132,113,131
135,136,137
138,137,136
135,139,136
140,141,142
140,142,143
115,144,143
140,143,144
116,144,115
142,145,135
139,135,145
141,145,142
146,148,149
137,150,149
146,149,150
138,150,137
148,151,3
0,3,151
148,147,151
1,152,153
1,153,2
154,155,156
154,156,157
161,162,163
164,163,162
161,165,162
166,167,168
166,168,169
170,171,172
173,172,171
170,174,171
172,175,169
166,169,175
173,175,172
176,177,178
179,178,177
180,177,176
167,180,176
178,181,161
165,161,181
178,179,181
186,187,185
188,189,190
188,190,191
183,188,191
183,191,184
189,158,160
189,160,190
192,193,194
198,199,195
159,198,195
199,196,195
202,203,204
202,204,205
206,207,208
206,208,209
193,206,209
193,209,194
210,211,212
203,210,213
203,213,204
211,154,157
214,215,216
217,216,215
214,218,215
219,220,221
222,221,220
223,220,219
224,225,226
224,226,227
228,229,230
228,230,231
155,228,231
155,231,156
229,224,227
229,227,230
232,233,234
235,234,233
232,236,233
225,236,232
234,237,219
223,219,237
234,235,237
238,239,240
241,240,239
238,242,239
243,244,245
246,245,244
243,247,244
221,248,243
247,243,248
222,248,221
245,249,238
242,238,249
245,246,249
250,251,252
253,252,251
250,254,251
240,255,250
254,250,255
240,241,255
253,218,214
253,214,252
256,257,258
259,258,257
256,260,257
261,262,263
264,263,262
261,265,262
266,267,268
269,268,267
270,267,266
216,271,266
270,266,271
216,217,271
268,272,261
265,261,272
268,269,272
273,274,275
276,275,274
273,277,274
263,278,273
277,273,278
263,264,278
276,260,256
279,280,281
282,281,280
283,280,279
284,285,286
286,285,287
284,288,285
258,289,284
288,284,289
258,259,289
287,279,286
290,291,292
293,292,291
294,291,290
281,295,290
294,290,295
281,282,295
292,296,25
27,25,296
292,293,296
290,292,25
273,275,258
268,273,258
273,268,263
268,290,214
266,214,216
275,256,258
290,268,258
258,284,286
213,157,231
231,234,240
226,231,227
226,232,234
231,230,227
243,240,234
22,290,25
46,9,8
10,47,22
15,17,22
8,290,22
10,12,43
10,42,47
38,47,39
8,47,46
51,68,61
54,64,8
57,8,58
8,57,54
54,68,64
8,64,73
231,160,213
73,170,160
194,213,195
208,205,213
194,209,208
160,195,213
148,2,170
191,190,160
163,185,178
163,178,161
160,170,184
168,176,178
168,170,169
184,170,178
170,2,153
64,87,73
73,109,71
87,110,73
103,96,110
101,76,78
96,98,110
160,214,8
87,64,88
87,83,90
73,148,170
143,135,148
143,142,135
115,143,113
121,148,73
124,73,122
201,200,297
298,187,186
298,186,164
298,164,162
298,182,187
158,189,298
188,183,298
182,298,183
298,189,188
298,196,199
298,199,198
298,198,159
298,159,158
297,197,298
298,197,196
200,197,297
201,297,192
297,203,202
297,207,206
297,206,193
297,193,192
297,202,207
297,211,210
297,210,203
297,154,211
297,236,225
297,225,224
297,233,236
154,297,155
297,228,155
224,229,297
228,297,229
235,233,297
297,237,235
177,298,179
298,181,179
298,162,165
181,298,165
297,220,223
223,237,297
222,220,297
297,248,222
248,297,299
299,244,247
247,248,299
299,249,246
246,244,299
299,255,241
241,239,299
299,271,217
217,215,299
299,218,253
299,215,218
253,251,299
299,251,254
254,255,299
242,249,299
299,239,242
167,298,180
298,177,180
167,166,298
298,166,175
173,298,175
298,173,171
1,300,152
174,300,298
1,0,300
0,151,300
174,152,300
298,171,174
146,300,147
146,150,300
300,151,147
139,300,136
300,139,145
138,300,150
300,138,136
140,300,141
300,145,141
300,140,144
