I,J,K
1,0,3
3,4,1
5,0,2
3,0,5
7,0,6
1,6,0
0,7,2
2,8,5
5,8,10
5,9,3
11,5,10
11,9,5
1,12,16
6,1,16
6,17,7
4,12,1
7,13,2
13,20,2
2,20,8
4,3,9
14,4,9
10,8,15
11,10,15
16,17,6
4,18,12
13,7,19
13,31,20
15,8,21
11,15,22
17,16,23
7,17,24
24,19,7
18,4,25
13,19,31
4,14,25
26,20,31
14,9,27
9,28,27
11,28,9
28,11,22
29,17,23
12,23,16
12,18,23
17,30,24
14,27,32
8,33,21
20,33,8
21,34,15
15,34,35
35,22,15
19,24,31
25,14,32
34,21,33
27,28,39
22,40,28
40,39,28
34,41,35
40,22,35
23,18,43
29,30,17
18,25,44
24,47,31
26,31,45
45,31,47
37,32,27
20,26,33
37,27,39
38,34,33
34,38,41
40,35,41
23,53,42
43,53,23
42,29,23
46,29,42
43,18,44
30,47,24
33,26,48
48,38,33
38,49,50
41,38,50
39,40,51
40,41,52
54,29,46
29,54,30
25,32,55
36,26,45
58,26,36
32,37,57
48,49,38
37,39,59
60,50,49
41,50,52
52,50,60
51,40,52
68,53,61
68,62,42
53,68,42
53,43,61
44,25,63
32,56,55
56,32,57
48,26,58
57,37,59
64,49,48
39,51,59
60,49,64
60,64,65
66,51,52
52,60,67
67,60,65
66,52,67
42,62,46
61,43,73
73,43,44
73,44,69
47,30,83
25,55,63
70,65,64
78,65,70
65,78,71
71,67,65
61,72,68
73,72,61
69,44,74
44,63,74
83,30,54
45,58,36
48,58,75
59,51,76
66,76,51
67,71,80
67,80,79
81,68,72
81,82,62
81,62,68
46,91,54
75,84,48
48,84,64
64,77,70
66,79,86
67,79,66
70,87,78
78,87,71
87,80,71
80,87,88
73,89,72
69,89,73
90,69,74
46,62,91
55,56,92
45,93,58
58,93,75
64,85,77
77,85,94
86,76,66
70,95,87
82,91,62
63,97,74
55,97,63
83,54,108
45,99,93
99,45,47
75,100,84
57,59,101
76,101,59
84,85,64
102,76,86
77,103,70
70,104,95
103,104,70
88,87,96
95,96,87
81,105,82
72,106,81
81,106,105
90,89,69
108,47,83
55,92,97
99,47,108
56,57,114
84,94,85
76,102,109
80,86,79
104,110,95
110,96,95
110,111,96
89,106,72
105,107,82
112,90,74
91,98,54
74,97,113
92,56,114
57,101,114
94,103,77
115,80,88
88,96,115
104,116,110
111,110,117
110,116,119
110,119,117
118,120,116
119,116,120
89,121,106
121,89,90
122,121,90
90,112,122
82,107,91
112,74,113
91,107,98
54,98,108
100,75,93
84,100,123
76,109,101
123,94,84
138,103,94
124,102,86
115,86,80
104,103,138
125,104,138
104,125,116
115,111,126
96,111,115
125,118,116
111,117,127
118,125,128
142,120,118
119,120,129
117,119,130
119,129,130
120,142,129
121,147,106
123,100,131
132,133,134
133,132,135
132,136,135
135,137,133
135,136,137
138,94,182
126,111,127
128,125,187
118,128,139
127,117,141
141,140,127
139,142,118
143,140,141
130,141,117
141,130,145
129,142,144
130,129,146
146,145,130
146,129,144
147,105,106
147,148,105
107,148,149
148,107,105
98,107,149
113,97,150
150,97,151
97,92,151
152,99,108
99,176,93
131,100,93
154,134,155
134,154,132
154,157,132
134,133,160
123,156,94
132,157,159
132,159,136
160,133,161
161,133,137
136,159,162
136,163,137
136,162,163
164,137,163
164,161,137
102,124,165
86,115,124
138,187,125
126,127,166
127,140,166
167,139,128
139,167,168
139,168,142
169,142,168
142,169,144
171,141,145
144,169,170
146,144,172
172,145,146
144,170,172
121,173,147
98,149,252
113,150,174
98,252,108
99,152,176
92,114,153
176,131,93
123,178,156
131,178,123
114,101,158
199,157,154
159,157,180
134,160,179
101,109,158
182,94,156
161,181,160
165,109,102
162,183,163
184,161,164
185,184,164
183,186,163
164,163,185
185,163,186
115,188,124
115,126,188
187,189,128
166,140,190
168,167,191
140,143,190
143,141,171
169,192,170
172,193,145
193,171,145
213,170,192
210,213,192
172,170,194
194,193,172
194,170,213
147,195,148
173,195,147
214,173,121
121,122,214
196,149,148
151,92,153
114,177,153
131,176,197
154,198,199
198,154,155
157,199,200
200,180,157
134,179,155
180,162,159
109,165,158
204,162,180
161,184,202
183,204,205
183,205,186
206,185,186
203,187,138
187,203,189
126,166,188
128,189,207
167,128,207
208,190,143
143,171,208
171,209,208
212,171,193
194,211,193
212,193,211
194,213,233
195,283,148
122,215,214
113,215,112
174,150,216
234,108,252
