x,y,z
-58.789982,0.000031,50.163307
-58.794559,0.000031,49.976845
-57.794559,4.000031,49.976845
-57.791203,4.000031,50.114235
-54.808109,0.000031,53.772255
-54.994572,0.000031,53.776833
-52.178898,0.000031,52.528755
-52.307560,0.000031,52.663857
-53.014652,4.000031,51.956734
-52.919865,4.000031,51.857216
-52.358219,4.000031,50.920113
-51.454426,0.000031,51.354885
-52.407658,4.000031,51.048347
-51.483829,0.000031,51.431038
-51.416691,0.000031,51.257027
-52.224857,4.000031,50.387672
-51.265873,0.000031,50.708488
-52.248356,4.000031,50.523079
-51.267582,0.000031,50.718178
-51.235661,0.000031,50.534401
-52.197941,4.000031,50.114235
-51.206364,0.000031,50.261513
-52.208073,4.000031,50.251289
-51.212833,0.000031,50.349312
-51.199162,0.000031,50.163307
-52.194523,4.000031,49.976845
-51.198914,0.000031,50.153759
-51.194523,0.000031,49.976845
-51.233658,0.000031,50.518173
-52.278507,4.000031,50.657173
-51.339039,0.000031,51.010731
-52.315128,4.000031,50.789619
-51.358219,0.000031,51.079933
-51.308414,0.000031,50.900154
-51.269192,0.000031,50.725266
-51.403484,0.000031,51.217087
-51.735172,0.000031,51.930428
-51.834965,0.000031,52.087990
-52.666447,4.000031,51.532448
-52.592960,4.000031,51.416328
-51.559391,0.000031,51.601540
-51.643253,0.000031,51.768135
-52.525211,4.000031,51.296761
-52.463383,4.000031,51.173988
-51.942326,0.000031,52.240486
-52.057072,0.000031,52.387520
-52.830143,4.000031,51.753151
-52.745548,4.000031,51.644783
-53.369816,0.000031,53.411995
-53.540348,0.000031,53.487587
-53.923038,4.000031,52.563698
-53.797428,4.000031,52.508003
-52.730900,0.000031,53.029030
-52.883366,0.000031,53.136421
-53.423744,4.000032,52.297314
-52.442631,0.000031,52.792458
-52.583866,0.000031,52.914284
-53.218266,4.000031,52.141273
-53.114201,4.000031,52.051491
-53.040958,0.000031,53.236214
-53.203251,0.000031,53.328133
-53.674625,4.000031,52.446205
-54.071232,0.000031,53.662941
-54.253239,0.000031,53.703835
-54.616573,4.000041,52.760513
-53.714359,0.000031,53.554695
-53.891483,0.000031,53.613197
-54.181767,4.000031,52.656258
-54.051273,4.000031,52.613167
-54.436954,0.000031,53.735695
-54.622135,0.000031,53.758553
-56.874943,4.000031,52.051491
-57.623722,0.000031,52.718895
-56.974430,4.000031,51.956734
-57.681583,0.000031,52.663857
-57.546452,0.000031,52.792458
-55.937809,4.000031,52.613167
-56.443119,0.000031,53.489769
-56.066105,4.000031,52.563698
-56.448795,0.000031,53.487587
-56.274723,0.000031,53.554695
-55.552128,0.000031,53.735695
-55.735905,0.000031,53.703835
-55.540836,4.000031,52.723030
-55.405399,4.000031,52.746529
-55.180973,0.000031,53.772255
-55.367008,0.000031,53.758553
-55.268986,4.000031,52.763344
-55.131901,4.000031,52.773476
-55.471954,0.000031,53.745605
-55.674870,4.000031,52.692909
-55.994698,0.000031,53.641685
-55.807316,4.000031,52.656258
-56.097599,0.000031,53.613197
-55.917912,0.000031,53.662941
-56.245106,0.000031,53.564491
-56.434025,4.000031,52.378487
-56.987637,0.000031,53.211227
-56.550114,4.000031,52.304939
-57.105717,0.000031,53.136421
-56.948185,0.000031,53.236214
-56.191715,4.000031,52.508003
-56.707191,0.000031,53.367729
-56.314457,4.000031,52.446205
-56.785831,0.000031,53.328133
-56.619267,0.000031,53.411995
-56.837040,0.000031,53.299141
-57.258244,0.000031,53.029030
-57.405216,0.000031,52.914284
-56.770817,4.000031,52.141273
-56.662540,4.000031,52.225807
-57.218876,0.000031,53.056755
-57.487019,0.000031,52.843700
-57.525700,4.000031,51.173988
-58.484146,0.000031,51.478828
-57.581425,4.000031,51.048347
-58.505314,0.000031,51.431038
-58.429752,0.000031,51.601540
-58.046757,0.000031,52.240486
-58.154118,0.000031,52.087990
-57.322697,4.000031,51.532448
-57.243534,4.000031,51.644783
-57.069218,4.000031,51.857216
-57.893192,0.000031,52.432472
-57.159000,4.000031,51.753151
-57.931950,0.000031,52.387520
-57.810184,0.000031,52.528755
-57.743660,0.000031,52.598625
-58.008549,0.000031,52.289391
-57.396183,4.000031,51.416328
-58.289093,0.000031,51.868340
-57.463932,4.000031,51.296761
-58.345890,0.000031,51.768135
-58.253910,0.000031,51.930428
-58.214520,0.000031,51.992615
-57.710636,4.000031,50.657173
-58.702946,0.000031,50.800987
-57.740788,4.000031,50.523079
-58.721500,0.000031,50.718178
-58.680668,0.000031,50.900154
-58.572453,0.000031,51.257027
-58.630924,0.000031,51.079933
-57.674015,4.000031,50.789619
-57.630924,4.000031,50.920113
-58.511711,0.000031,51.414455
-58.632782,0.000031,51.073196
-58.753422,0.000031,50.534401
-58.776249,0.000031,50.349312
-57.781071,4.000031,50.251289
-57.764225,4.000031,50.387672
-58.725952,0.000031,50.692574
-58.788517,0.000031,50.183037
-58.789982,0.000031,49.790382
-57.791203,4.000031,49.839455
-54.994572,0.000030,46.176826
