FRAME,TIME,PHANTOM,MARKER_NR,TRAJECTORY_TYPE,X,Y,Z,VX,VY,VZ,VELOCITY
1,0.0,skull,phantom1,Measured,338.365,353.008,183.094,,,,
1,0.0,skull,phantom2,Measured,302.125,413.543,148.604,,,,
1,0.0,skull,phantom3,Measured,351.689,347.606,90.599,,,,
1,0.0,skull,phantom4,Measured,301.656,320.014,154.561,,,,
1,0.0,catheter,tip1,Measured,303.252,84.58,-20.389,,,,
1,0.0,catheter,tip2,Measured,356.242,72.314,3.601,,,,
1,0.0,catheter,tip3,Virtual,60.835,67.936,-21.604,,,,
1,0.0,catheter,tip4,Measured,304.927,42.772,-19.839,,,,
2,0.005,skull,phantom1,Measured,338.354,353.005,183.09,-1.3,-0.8,-0.7,
2,0.005,skull,phantom2,Measured,302.132,413.532,148.615,-0.5,-1.1,1.6,
2,0.005,skull,phantom3,Measured,351.69,347.606,90.593,-0.3,0.8,-0.6,
2,0.005,skull,phantom4,Measured,301.651,320.013,154.566,-0.8,-0.1,-0.6,
2,0.005,catheter,tip1,Measured,303.242,84.599,-20.419,-1.6,4.3,-0.2,
2,0.005,catheter,tip2,Measured,356.234,72.316,3.606,0.5,-0.2,-0.2,
2,0.005,catheter,tip3,Virtual,60.837,67.95,-21.685,-0.4,5.8,4.7,
2,0.005,catheter,tip4,Measured,304.943,42.75,-19.808,0.5,-0.1,1.2,
3,0.01,skull,phantom1,Measured,338.352,353.0,183.087,23.8,41.3,-49.0,45.952
3,0.01,skull,phantom2,Measured,302.12,413.532,148.62,-16.8,10.9,-10.7,15.388
3,0.01,skull,phantom3,Measured,351.686,347.614,90.593,-13.8,-20.9,1.1,16.997
3,0.01,skull,phantom4,Measured,301.648,320.013,154.555,-0.5,-0.2,0.7,0.984
3,0.01,catheter,tip1,Measured,303.236,84.623,-20.391,0.7,0.1,2.0,2.716
3,0.01,catheter,tip2,Measured,356.247,72.312,3.599,1.7,-0.6,-1.2,1.345
3,0.01,catheter,tip3,Virtual,60.831,67.994,-21.557,9.8,-59.6,14.2,46.145
3,0.01,catheter,tip4,Measured,304.932,42.771,-19.827,28.9,0.8,11.0,21.616
4,0.015,skull,phantom1,Measured,338.592,353.418,182.6,18.9,45.4,-46.7,49.292
4,0.015,skull,phantom2,Measured,301.964,413.641,148.508,-16.0,10.4,-9.8,18.402
4,0.015,skull,phantom3,Measured,351.552,347.397,90.604,-12.7,-21.3,2.0,17.483
4,0.015,skull,phantom4,Measured,301.646,320.011,154.573,0.2,0.3,1.0,1.216
4,0.015,catheter,tip1,Measured,303.249,84.6,-20.399,0.6,-1.3,-0.1,2.534
4,0.015,catheter,tip2,Measured,356.251,72.31,3.594,1.0,-0.2,-0.8,1.818
4,0.015,catheter,tip3,Virtual,60.935,67.354,-21.543,10.3,-67.9,5.7,51.284
4,0.015,catheter,tip4,Measured,305.232,42.758,-19.698,30.1,-2.5,12.3,23.265
5,0.02,skull,phantom1,Measured,338.541,353.454,182.62,-5.9,10.1,0.2,29.504
5,0.02,skull,phantom2,Measured,301.96,413.636,148.522,-1.8,10.9,0.2,26.052
5,0.02,skull,phantom3,Measured,351.559,347.401,90.613,1.2,2.0,-0.9,20.964
5,0.02,skull,phantom4,Measured,301.65,320.016,154.565,0.1,-1.7,0.0,13.315
5,0.02,catheter,tip1,Measured,303.242,84.61,-20.392,-1.0,3.9,0.4,3.619
5,0.02,catheter,tip2,Measured,356.257,72.31,3.591,0.6,1.9,0.0,2.16
5,0.02,catheter,tip3,Virtual,60.934,67.315,-21.5,-2.2,21.1,8.6,37.953
5,0.02,catheter,tip4,Measured,305.233,42.746,-19.704,-5.6,2.5,1.2,16.743
6,0.025,skull,phantom1,Measured,338.533,353.519,182.602,-1.1,-2.0,8.7,11.478
6,0.025,skull,phantom2,Measured,301.946,413.75,148.51,-33.7,18.4,24.7,38.974
6,0.025,skull,phantom3,Measured,351.564,347.417,90.595,-5.5,-6.9,34.4,20.431
6,0.025,skull,phantom4,Measured,301.647,319.994,154.573,-29.0,-16.4,16.5,21.551
6,0.025,catheter,tip1,Measured,303.239,84.639,-20.395,3.1,-4.3,-0.9,6.895
6,0.025,catheter,tip2,Measured,356.257,72.329,3.594,-2.1,-2.3,-0.7,3.529
6,0.025,catheter,tip3,Virtual,60.913,67.565,-21.457,1.4,2.2,-21.9,25.425
6,0.025,catheter,tip4,Measured,305.176,42.783,-19.686,1.3,7.2,-8.7,9.663
7,0.03,skull,phantom1,Measured,338.53,353.434,182.707,-4.3,-12.6,3.4,12.61
7,0.03,skull,phantom2,Measured,301.623,413.82,148.769,-49.4,-1.6,34.4,57.35
7,0.03,skull,phantom3,Measured,351.504,347.332,90.957,-9.9,-13.1,-16.5,36.843
7,0.03,skull,phantom4,Measured,301.36,319.852,154.73,11.4,3.8,-22.8,39.927
7,0.03,catheter,tip1,Measured,303.273,84.567,-20.401,6.3,-9.3,-0.8,6.501
7,0.03,catheter,tip2,Measured,356.236,72.287,3.584,-2.2,-4.7,-1.5,4.358
7,0.03,catheter,tip3,Virtual,60.948,67.337,-21.719,4.2,-16.5,-26.3,23.614
7,0.03,catheter,tip4,Measured,305.246,42.818,-19.791,6.5,2.8,-8.9,8.632
8,0.035,skull,phantom1,Measured,338.49,353.393,182.636,6.1,-8.6,-10.8,14.207
8,0.035,skull,phantom2,Measured,301.452,413.734,148.854,46.9,-37.8,-27.4,69.23
8,0.035,skull,phantom3,Measured,351.465,347.286,90.43,9.6,-10.7,-49.7,30.139
8,0.035,skull,phantom4,Measured,301.761,320.032,154.345,42.8,16.8,-33.4,29.736
8,0.035,catheter,tip1,Measured,303.302,84.546,-20.403,0.9,2.6,-0.8,5.998
8,0.035,catheter,tip2,Measured,356.235,72.282,3.579,3.9,-1.4,1.7,4.38
8,0.035,catheter,tip3,Virtual,60.955,67.4,-21.72,1.5,17.3,1.8,30.188
8,0.035,catheter,tip4,Measured,305.241,42.811,-19.775,-0.4,-0.9,3.0,10.025
9,0.04,skull,phantom1,Measured,338.591,353.348,182.599,12.5,-4.4,-3.8,10.925
9,0.04,skull,phantom2,Measured,302.092,413.442,148.495,66.5,-30.2,-35.7,50.296
9,0.04,skull,phantom3,Measured,351.6,347.225,90.46,14.0,-6.1,2.0,23.756
9,0.04,skull,phantom4,Measured,301.788,320.02,154.396,5.4,-1.7,3.4,22.658
9,0.04,catheter,tip1,Measured,303.282,84.593,-20.409,2.8,-0.6,-2.6,3.698
9,0.04,catheter,tip2,Measured,356.275,72.273,3.601,2.7,-0.3,1.8,3.196
9,0.04,catheter,tip3,Virtual,60.963,67.51,-21.701,-2.5,41.6,-2.9,24.534
9,0.04,catheter,tip4,Measured,305.242,42.809,-19.761,-14.1,-6.2,2.1,7.928
10,0.045,skull,phantom1,Measured,338.615,353.349,182.598,3.6,-0.5,-1.4,7.068
10,0.045,skull,phantom2,Measured,302.117,413.432,148.497,3.1,-0.8,-1.2,29.348
10,0.045,skull,phantom3,Measured,351.605,347.225,90.45,2.0,-0.9,-3.5,7.996
10,0.045,skull,phantom4,Measured,301.815,320.015,154.379,3.7,0.4,-2.6,4.968
10,0.045,catheter,tip1,Measured,303.33,84.54,-20.429,2.9,-3.1,-1.0,4.669
10,0.045,catheter,tip2,Measured,356.262,72.279,3.597,-0.7,-0.2,-1.7,2.411
10,0.045,catheter,tip3,Virtual,60.93,67.816,-21.749,2.3,-11.2,-8.7,30.232
10,0.045,catheter,tip4,Measured,305.1,42.749,-19.754,4.0,0.9,-3.0,13.299
11,0.05,skull,phantom1,Measured,338.627,353.343,182.585,2.9,-0.1,-2.0,3.484
11,0.05,skull,phantom2,Measured,302.123,413.434,148.483,2.8,0.6,-1.7,3.281
11,0.05,skull,phantom3,Measured,351.62,347.216,90.425,2.7,-1.0,-3.4,3.575
11,0.05,skull,phantom4,Measured,301.825,320.024,154.37,2.3,2.0,-2.2,3.828
11,0.05,catheter,tip1,Measured,303.311,84.562,-20.419,-3.2,4.5,1.7,3.585
11,0.05,catheter,tip2,Measured,356.268,72.271,3.584,1.5,-1.5,-0.1,1.653
11,0.05,catheter,tip3,Virtual,60.986,67.398,-21.788,5.0,-34.0,-3.6,17.909
11,0.05,catheter,tip4,Measured,305.282,42.818,-19.791,16.8,8.3,-4.5,8.642
12,0.055,skull,phantom1,Measured,338.644,353.348,182.578,2.6,1.0,-1.2,3.026
12,0.055,skull,phantom2,Measured,302.145,413.438,148.48,2.9,0.4,-1.0,2.672
12,0.055,skull,phantom3,Measured,351.632,347.215,90.416,1.9,0.4,-0.9,2.594
12,0.055,skull,phantom4,Measured,301.838,320.035,154.357,2.6,0.7,-1.7,3.311
12,0.055,catheter,tip1,Measured,303.298,84.585,-20.412,-0.2,-0.5,-0.3,3.044
12,0.055,catheter,tip2,Measured,356.277,72.264,3.596,-0.5,0.6,0.6,1.743
12,0.055,catheter,tip3,Virtual,60.98,67.476,-21.785,-0.2,0.1,-4.8,16.043
12,0.055,catheter,tip4,Measured,305.268,42.832,-19.799,-0.4,1.4,-0.6,7.398
13,0.06,skull,phantom1,Measured,338.653,353.353,182.573,1.5,1.7,-1.1,2.898
13,0.06,skull,phantom2,Measured,302.152,413.438,148.473,1.3,0.2,-0.9,2.08
13,0.06,skull,phantom3,Measured,351.639,347.22,90.416,0.4,0.5,-1.0,1.661
13,0.06,skull,phantom4,Measured,301.851,320.031,154.353,2.3,0.2,-1.9,2.892
13,0.06,catheter,tip1,Measured,303.309,84.557,-20.422,1.1,-1.0,-2.3,2.187
13,0.06,catheter,tip2,Measured,356.263,72.277,3.59,-0.1,2.0,-0.7,1.611
13,0.06,catheter,tip3,Virtual,60.984,67.399,-21.836,1.0,-4.6,-7.4,8.495
