NO_OF_FRAMES	6378
NO_OF_CAMERAS	14
NO_OF_MARKERS	8
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:36:43.083	87607.09578570
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter_tip1	catheter_tip2	catheter_tip3	catheter_tip4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Virtual	Measured
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter_tip1 X	catheter_tip1 Y	catheter_tip1 Z	catheter_tip2 X	catheter_tip2 Y	catheter_tip2 Z	catheter_tip3 X	catheter_tip3 Y	catheter_tip3 Z	catheter_tip4 X	catheter_tip4 Y	catheter_tip4 Z	
1	0.00000	338.365	353.008	183.094	302.125	413.543	148.604	351.689	347.606	90.599	301.656	320.014	154.561	303.252	84.580	-20.389	356.242	72.314	3.601	60.835	67.936	-21.604	304.927	42.772	-19.839
2	0.00500	338.354	353.005	183.090	302.132	413.532	148.615	351.690	347.606	90.593	301.651	320.013	154.566	303.242	84.599	-20.419	356.234	72.316	3.606	60.837	67.950	-21.685	304.943	42.750	-19.808
3	0.01000	338.352	353.000	183.087	302.120	413.532	148.620	351.686	347.614	90.593	301.648	320.013	154.555	303.236	84.623	-20.391	356.247	72.312	3.599	60.831	67.994	-21.557	304.932	42.771	-19.827
4	0.01500	338.592	353.418	182.600	301.964	413.641	148.508	351.552	347.397	90.604	301.646	320.011	154.573	303.249	84.600	-20.399	356.251	72.310	3.594	60.935	67.354	-21.543	305.232	42.758	-19.698
5	0.02000	338.541	353.454	182.620	301.960	413.636	148.522	351.559	347.401	90.613	301.650	320.016	154.565	303.242	84.610	-20.392	356.257	72.310	3.591	60.934	67.315	-21.500	305.233	42.746	-19.704
6	0.02500	338.533	353.519	182.602	301.946	413.750	148.510	351.564	347.417	90.595	301.647	319.994	154.573	303.239	84.639	-20.395	356.257	72.329	3.594	60.913	67.565	-21.457	305.176	42.783	-19.686
7	0.03000	338.530	353.434	182.707	301.623	413.820	148.769	351.504	347.332	90.957	301.360	319.852	154.730	303.273	84.567	-20.401	356.236	72.287	3.584	60.948	67.337	-21.719	305.246	42.818	-19.791
8	0.03500	338.490	353.393	182.636	301.452	413.734	148.854	351.465	347.286	90.430	301.761	320.032	154.345	303.302	84.546	-20.403	356.235	72.282	3.579	60.955	67.400	-21.720	305.241	42.811	-19.775
9	0.04000	338.591	353.348	182.599	302.092	413.442	148.495	351.600	347.225	90.460	301.788	320.020	154.396	303.282	84.593	-20.409	356.275	72.273	3.601	60.963	67.510	-21.701	305.242	42.809	-19.761
10	0.04500	338.615	353.349	182.598	302.117	413.432	148.497	351.605	347.225	90.450	301.815	320.015	154.379	303.330	84.540	-20.429	356.262	72.279	3.597	60.930	67.816	-21.749	305.100	42.749	-19.754
