NO_OF_FRAMES	5500
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 10:57:21.232	88845.24398590
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, no marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Virtual
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
1	0.00000	420.510	336.515	221.209	391.040	395.565	178.463	452.220	328.501	133.566	391.059	301.759	187.236	317.809	477.105	47.179	191.795	475.352	18.824	319.722	469.272	34.354	365.141	446.944	29.917	364.215	489.627	30.780	412.476	475.081	62.190	124.056	468.370	-3.301
2	0.00500	420.505	336.519	221.214	391.049	395.569	178.456	452.219	328.506	133.567	391.059	301.763	187.227	317.810	477.113	47.180	191.779	475.346	18.849	319.719	469.300	34.326	365.138	446.920	29.916	364.220	489.636	30.765	412.474	475.079	62.187	124.047	468.370	-3.273
3	0.01000	420.505	336.506	221.209	391.049	395.563	178.455	452.218	328.500	133.563	391.064	301.770	187.235	317.816	477.113	47.187	191.770	475.363	18.832	319.720	469.274	34.348	365.172	446.955	29.916	364.212	489.651	30.769	412.475	475.083	62.189	124.055	468.377	-3.289
4	0.01500	420.476	336.793	221.144	391.056	395.568	178.456	452.220	328.495	133.561	391.099	301.781	187.278	317.806	477.056	47.256	191.769	475.368	18.828	319.723	469.276	34.341	365.120	446.939	29.925	364.233	489.447	30.389	412.422	475.120	62.239	124.021	468.311	-3.237
5	0.02000	420.477	336.779	221.145	391.043	395.575	178.451	452.207	328.501	133.567	391.107	301.768	187.303	317.822	477.051	47.247	191.763	475.372	18.864	319.720	469.278	34.346	365.150	446.934	29.894	364.230	489.426	30.389	412.425	475.125	62.247	124.020	468.314	-3.201
6	0.02500	420.496	336.819	221.099	391.054	395.727	178.453	452.210	328.508	133.511	391.336	301.835	187.279	317.779	477.100	47.191	191.737	475.361	18.861	319.640	469.300	34.430	365.217	446.903	30.019	364.213	489.572	30.363	412.388	475.119	62.255	124.004	468.275	-3.204
7	0.03000	420.478	336.603	221.215	391.128	396.155	178.647	452.083	328.406	133.631	391.009	301.737	187.189	317.784	477.075	47.205	191.520	475.303	19.080	319.661	469.249	34.323	365.151	446.831	30.204	364.315	489.262	30.498	412.395	474.870	62.352	123.956	468.325	-3.010
8	0.03500	420.508	336.706	221.205	390.495	395.744	178.106	452.088	328.505	133.498	391.000	301.842	187.088	317.792	477.028	47.243	191.512	475.297	19.114	319.699	469.229	34.346	365.120	446.981	29.889	364.279	489.277	30.376	412.523	475.060	62.272	123.937	468.253	-2.888
9	0.04000	420.531	336.699	221.213	391.054	395.328	178.458	452.254	328.405	133.575	391.176	301.526	187.493	317.814	477.022	47.236	191.761	475.354	18.759	319.706	469.203	34.332	365.109	447.004	29.854	364.280	489.287	30.375	412.525	475.050	62.269	124.051	468.328	-3.316
10	0.04500	420.514	336.693	221.212	391.045	395.315	178.469	452.259	328.392	133.579	391.164	301.532	187.470	317.817	477.015	47.228	191.749	475.353	18.766	319.718	469.206	34.337	365.100	447.017	29.858	364.288	489.251	30.376	412.529	475.057	62.281	124.051	468.323	-3.311
