NO_OF_FRAMES	5630
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:03:50.756	89234.76822660
DATA_INCLUDED	3D
EVENT	Extra markers on catheter, marker on tip, ideal phantom angle	1	0.00000
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
1	0.00000	419.945	338.958	221.176	390.501	397.464	177.933	451.963	330.305	133.689	390.632	303.959	187.383	316.878	472.366	47.115	190.824	475.229	17.515	319.166	465.003	34.115	364.491	441.812	29.999	363.912	484.385	30.748	412.340	469.432	61.761	122.612	469.077	-1.077
2	0.00500	419.939	338.955	221.182	390.501	397.470	177.924	451.962	330.295	133.692	390.638	303.959	187.374	316.884	472.357	47.114	190.818	475.228	17.515	319.175	464.985	34.100	364.500	441.824	30.011	363.908	484.404	30.743	412.339	469.430	61.755	122.623	469.079	-1.079
3	0.01000	419.939	338.956	221.185	390.498	397.471	177.934	451.966	330.284	133.689	390.634	303.949	187.370	316.875	472.367	47.119	190.821	475.201	17.520	319.160	464.999	34.097	364.495	441.847	30.007	363.930	484.366	30.752	412.343	469.420	61.746	122.608	469.073	-1.069
4	0.01500	419.864	339.310	221.062	390.495	397.468	177.924	451.963	330.300	133.683	390.689	303.990	187.400	316.889	472.307	47.184	190.828	475.200	17.522	319.150	464.996	34.100	364.452	441.818	29.995	363.942	484.196	30.397	412.283	469.470	61.828	122.793	468.492	-0.470
5	0.02000	419.861	339.308	221.062	390.494	397.479	177.921	452.051	330.234	133.728	390.680	303.980	187.398	316.891	472.308	47.189	190.820	475.212	17.521	319.158	464.936	34.134	364.491	441.820	29.994	363.955	484.183	30.391	412.293	469.473	61.815	122.604	469.061	-1.098
6	0.02500	419.842	339.359	221.040	390.523	397.578	177.973	451.947	330.372	133.692	391.010	304.244	187.422	316.893	472.342	47.156	190.758	475.273	17.574	319.110	465.000	34.326	364.567	441.671	30.044	363.932	484.259	30.360	412.163	469.504	61.839	122.644	469.081	-1.077
7	0.03000	419.780	339.296	221.028	390.689	397.789	178.187	451.806	330.134	133.785	390.491	304.105	187.131	316.846	472.304	47.142	190.679	475.071	17.928	319.125	464.870	33.998	364.770	441.733	30.193	364.126	483.919	30.477	412.195	469.333	61.863	122.632	468.969	-0.949
8	0.03500	419.796	339.308	221.029	389.954	397.517	177.575	451.818	330.262	133.642	390.485	304.092	187.135	316.872	472.287	47.149	190.672	475.062	17.933	319.149	464.956	33.943	364.606	441.894	29.905	364.042	483.942	30.353	412.342	469.444	61.865	122.630	468.975	-1.009
9	0.04000	419.890	339.237	221.107	390.529	397.177	177.905	451.991	330.163	133.723	390.591	303.996	187.305	316.896	472.285	47.130	190.866	475.048	17.433	319.175	464.961	33.950	364.581	441.917	29.890	364.030	483.943	30.356	412.346	469.438	61.857	122.784	468.508	-0.489
10	0.04500	419.895	339.233	221.114	390.531	397.163	177.900	451.987	330.167	133.730	390.590	303.994	187.329	316.888	472.260	47.130	190.876	475.054	17.416	319.166	464.837	34.023	364.599	441.904	29.877	364.039	483.953	30.367	412.351	469.432	61.832	122.610	468.989	-1.044
11	0.05000	419.907	339.236	221.121	390.531	397.142	177.901	451.979	330.156	133.726	390.590	303.992	187.327	316.886	472.249	47.157	190.871	475.038	17.406	319.179	464.823	34.019	364.605	441.924	29.911	364.060	483.931	30.349	412.348	469.434	61.855	122.596	469.017	-1.035
12	0.05500	419.904	339.237	221.118	390.539	397.141	177.893	451.989	330.162	133.734	390.601	303.983	187.326	316.889	472.239	47.168	190.882	475.035	17.414	319.189	464.938	33.974	364.603	441.926	29.851	364.048	483.913	30.342	412.359	469.430	61.844	122.608	469.002	-1.048
13	0.06000	419.913	339.240	221.126	390.540	397.133	177.895	451.986	330.156	133.735	390.594	303.965	187.327	316.899	472.225	47.159	190.876	475.021	17.411	319.185	464.819	34.042	364.627	441.894	29.861	364.042	483.902	30.348	412.363	469.431	61.844	122.598	469.032	-1.044
14	0.06500	419.914	339.239	221.136	390.534	397.129	177.890	451.987	330.152	133.731	390.602	303.981	187.355	316.905	472.234	47.146	190.888	475.025	17.415	319.209	464.922	33.972	364.565	441.905	29.847	364.052	483.907	30.338	412.368	469.455	61.843	122.601	469.006	-1.077
15	0.07000	419.905	339.227	221.135	390.536	397.118	177.898	451.986	330.160	133.743	390.601	303.969	187.350	316.902	472.230	47.168	190.883	475.020	17.402	319.213	464.924	33.988	364.606	441.943	29.872	364.074	483.889	30.343	412.370	469.440	61.841	122.750	468.500	-0.507
16	0.07500	419.911	339.233	221.133	390.536	397.128	177.883	451.991	330.153	133.743	390.606	303.966	187.365	316.926	472.239	47.147	190.878	475.029	17.406	319.214	464.927	33.967	364.755	441.984	29.886	364.061	483.905	30.337	412.367	469.439	61.843	122.599	469.028	-1.062
17	0.08000	419.916	339.234	221.125	390.541	397.125	177.881	451.983	330.160	133.748	390.627	303.844	187.486	316.922	472.243	47.147	190.887	475.023	17.391	319.221	464.815	34.059	364.751	441.976	29.879	364.052	483.917	30.355	412.370	469.451	61.845	122.594	469.026	-1.064
18	0.08500	419.910	339.229	221.131	390.538	397.114	177.891	451.987	330.167	133.757	390.601	303.965	187.356	316.909	472.237	47.159	190.881	475.021	17.373	319.193	464.806	34.043	364.608	441.910	29.875	364.045	483.899	30.346	412.377	469.447	61.847	122.756	468.485	-0.513
19	0.09000	419.918	339.242	221.126	390.540	397.108	177.886	451.984	330.160	133.749	390.591	303.968	187.339	316.901	472.246	47.171	190.884	475.011	17.376	319.216	464.917	33.980	364.628	441.925	29.837	364.052	483.911	30.359	412.366	469.445	61.834	122.595	469.010	-1.081
20	0.09500	419.920	339.238	221.128	390.551	397.125	177.880	451.992	330.155	133.754	390.605	303.963	187.352	316.913	472.230	47.172	190.883	475.019	17.356	319.222	464.918	33.973	364.588	441.923	29.826	364.054	483.897	30.360	412.370	469.438	61.838	122.592	469.015	-1.072
21	0.10000	419.922	339.233	221.123	390.540	397.119	177.884	451.994	330.152	133.746	390.629	303.846	187.462	316.933	472.250	47.160	190.865	475.007	17.347	319.225	464.934	33.989	364.616	441.948	29.847	364.057	483.908	30.336	412.378	469.450	61.832	122.599	469.018	-1.092
