NO_OF_FRAMES	12020
NO_OF_CAMERAS	14
NO_OF_MARKERS	11
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-06-20, 11:49:28.214	91972.22731710
DATA_INCLUDED	3D
MARKER_NAMES	skull_phantom1	skull_phantom2	skull_phantom3	skull_phantom4	catheter3_mid3_tip1	catheter3_mid3_tip2	catheter3_mid3_tip3	catheter3_mid3_tip4	catheter3_mid3_tip5	catheter3_mid3_tip6	catheter3_mid3_tip7
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed
Frame	Time	skull_phantom1 X	skull_phantom1 Y	skull_phantom1 Z	skull_phantom2 X	skull_phantom2 Y	skull_phantom2 Z	skull_phantom3 X	skull_phantom3 Y	skull_phantom3 Z	skull_phantom4 X	skull_phantom4 Y	skull_phantom4 Z	catheter3_mid3_tip1 X	catheter3_mid3_tip1 Y	catheter3_mid3_tip1 Z	catheter3_mid3_tip2 X	catheter3_mid3_tip2 Y	catheter3_mid3_tip2 Z	catheter3_mid3_tip3 X	catheter3_mid3_tip3 Y	catheter3_mid3_tip3 Z	catheter3_mid3_tip4 X	catheter3_mid3_tip4 Y	catheter3_mid3_tip4 Z	catheter3_mid3_tip5 X	catheter3_mid3_tip5 Y	catheter3_mid3_tip5 Z	catheter3_mid3_tip6 X	catheter3_mid3_tip6 Y	catheter3_mid3_tip6 Z	catheter3_mid3_tip7 X	catheter3_mid3_tip7 Y	catheter3_mid3_tip7 Z	
1	0.00000	418.719	335.127	221.103	390.908	394.078	177.902	451.064	325.592	133.859	388.911	300.783	187.001	316.925	481.846	15.034	188.743	481.780	2.575	314.704	481.913	30.888	360.805	513.653	30.658	356.673	480.177	54.196	412.625	477.309	34.116	117.910	488.389	2.100
2	0.00500	418.715	335.118	221.097	390.900	394.078	177.900	451.057	325.606	133.852	388.913	300.795	187.007	316.901	481.858	15.034	188.727	481.773	2.615	314.699	481.898	30.896	360.788	513.656	30.649	356.667	480.175	54.196	412.625	477.319	34.121	117.918	488.399	2.102
3	0.01000	418.708	335.126	221.092	390.907	394.078	177.902	451.061	325.608	133.860	388.909	300.791	187.016	316.909	481.879	15.023	188.710	481.804	2.605	314.697	481.906	30.887	360.792	513.681	30.656	356.670	480.173	54.193	412.633	477.298	34.135	117.915	488.382	2.112
4	0.01500	418.713	335.128	221.102	390.902	394.069	177.902	451.054	325.602	133.853	388.930	300.486	187.252	316.899	481.855	15.037	188.713	481.766	2.609	314.690	481.922	30.877	360.790	513.665	30.662	356.661	480.174	54.204	412.627	477.314	34.120	117.898	488.404	2.096
5	0.02000	418.717	335.132	221.093	390.896	394.074	177.899	451.133	325.544	133.867	388.915	300.486	187.258	316.899	481.852	15.027	188.705	481.829	2.578	314.690	481.911	30.888	360.787	513.673	30.658	356.658	480.175	54.193	412.628	477.301	34.125	117.897	488.392	2.102
6	0.02500	418.581	335.091	221.064	390.992	394.407	178.095	450.903	325.309	133.903	388.535	300.594	186.942	317.083	481.582	14.861	188.693	481.761	2.648	314.698	481.856	30.886	361.022	513.743	30.857	356.643	480.140	54.302	412.537	477.256	34.231	117.922	487.837	2.504
7	0.03000	418.621	335.069	221.093	390.977	394.500	178.143	450.896	325.482	133.961	388.620	300.576	186.992	317.110	481.612	15.007	188.696	481.760	2.644	314.728	481.788	30.933	361.154	513.637	30.941	356.685	480.104	54.350	412.551	477.165	34.230	117.856	488.205	2.180
8	0.03500	418.631	335.071	221.095	390.325	394.050	177.648	450.916	325.543	133.836	388.625	300.581	186.974	317.115	481.623	15.014	188.684	481.774	2.626	314.737	481.796	30.923	360.772	513.409	30.640	356.695	480.135	54.172	412.683	477.245	34.208	117.854	488.194	2.190
9	0.04000	418.622	335.086	221.087	390.302	394.033	177.641	450.906	325.545	133.835	388.609	300.513	187.014	317.130	481.621	15.004	188.682	481.772	2.629	314.741	481.793	30.907	360.775	513.403	30.624	356.692	480.127	54.152	412.699	477.229	34.191	117.830	488.237	2.167
10	0.04500	418.707	335.012	221.170	390.901	393.747	177.865	451.066	325.473	133.891	388.731	300.401	187.236	317.148	481.615	15.008	188.685	481.772	2.642	314.740	481.780	30.916	360.773	513.413	30.627	356.698	480.117	54.147	412.702	477.228	34.198	117.835	488.240	2.186
